纬线	形状	圆形；每一条纬线自成圆圈；只有赤道（最大的纬线圈）能平分地球
朝鲜族	重大节日活动或传统活动	跳板、长鼓舞


19世纪以前的国际人口迁移	流向	欧洲→美洲非洲→美洲中、日、印度等国→东南亚、美洲


团块状	主要优点	便于集中设置比较完善的基础设施，各种设施的利用率高，方便生活，便于管理，节省投资


铁路	主要缺点	造价高，消耗金属材料多，占地面积大，短途运输成本高


第一级阶梯	主要地形区	青藏高原、柴达木盆地


新工业区	发展模式	意大利的新工业区，以中小企业集聚的工业小区为独特的发展模式。在意大利，工业小区是一个特定的概念。它指的是一个地区的中小企业以一项经营活动为中心，逐步建立起相互信赖、比较稳固的协作关系和产供销体系。这有助于加强专业化，提高生产效率，降低生产成本，增强在市场上的竞争力


黑子	位置	光球


白种人	眼色	蓝灰


埃及	出处	http://kb.cs.tsinghua.edu.cn/apibztask/label/2241#xpointer(start-point(string-range(//BODY/P[10]/text()[1],'',104))/range-to(string-range(//BODY/P[10]/text()[1],'',106)))


地理	分类编号	5


铁路	适合运输的货物	大量、笨重、需长途运输的货物，如矿石、牲畜、金属等


生物能	能量来源	太阳能


乳畜业	区位优势	西欧以温带海洋性气候为主，气候温凉、潮湿，多雨多雾，日照少，不利于谷物的成熟，但有利于多汁牧草的生长


月球、太阳引力	构成	潮汐能


团块状	地域形态	各组成部分比较集中，连成一片


太阳风	太阳大气层	日冕


太阳日	参照物	太阳


恒星日	自转角度	360°


旱季	时间	10月至次年5月


黄赤交角	大小	23°26′


昼夜交替	周期	24小时（1个太阳日）


气温	最高值	海南


气温	最低值	青藏高原


人口增长模式	划分依据	依据不同历史阶段人口出生率、死亡率和自然增长率的大小。


港口	选址要求	河港要求河宽水深，位于靠近城市、陆路交通便利的地方；海港要求有背风、避浪、水深的海湾，位于与其他交通干道系统有便利联系的地方


黄赤交角	度数	23°26′


内流区	河流	塔里木河、弱水等


第一级阶梯	地形	高原


西部大西洋沿岸	气候	受北大西洋暖流和西风的影响，冬暖夏凉，降水季节分配比较均匀。空气湿润，云量较大，阴雨天较多，日照较少,属于温带海洋性气候


湿润地区	干湿状况	年降水量＞800毫米，降水量＞蒸发量


湿润地区	植被	森林


湿润地区	农业类型	水田为主


热带雨林带	气候类型	热带雨林气候


红河	上游	元江


北美	居民	外来移民汇集，主要是白种人，占80%以上；当地居民印第安人和因纽特人是黄种人


向斜	岩层新老关系	中间新两翼老


向斜	形成地貌	地貌上常形成谷地或盆地，但有些向斜嘈药因受挤压，岩性坚硬，不芎遭受浸蚀而成为山岭


火山	规模	大小不一，大火山的相对高度可达4000－5000米，火山口直径为数百米；小火山的相对高度不及100米


太阳暖大地	热量来源	太阳辐射是地面的直接热源


香港	经济	第三产业发达，是国际贸易中心、航运中心、重要的国际金融中心、信息服务中心


青藏高原区	分布范围	青藏高原


水平气压梯度力	风向的画法	垂直于等压线


理想状态的风	风向	垂直于等压线，由高压指向低压


地壳	地震波速度	速度较慢


地壳	深度	平均33


南极地区	气温	地球上最冷的地区，暖季（每年11月到次年3月）也十分寒冷，有“冰雪高原”之称


旱季	降水特征	降水量很小


地质历史时期	距今时间	22亿年—1万年


河流侵蚀	主要侵蚀方式	溯源侵蚀：向河流源头方向的侵蚀，使河谷不断向源头方向伸长


商品谷物农业	经营方式	多为家庭农场经营，但我国东北和西北的商品谷物农场一般是国营的


季风水田农业	生产历史	约有7000年历史，稻米是当地人们喜爱的主要食粮


季风水田农业	生产地位	季风水田农业所产稻米占世界稻米总产量的绝大部分，中同是世界上最大的稻米生产国


澳大利亚	领土构成	澳大利亚包括澳大利亚大陆、塔斯马尼亚岛和周围的一些岛屿


日本	资源	丰富的森林、水能、地热资源，矿产资源匮乏


全年多雨型	主要城市	新加坡


大气	整体性表现	热量、水分主要来自地面，地面性质直接影响大气的水热状况及运动特征


中亚	湖泊	内流湖


台湾省	自然资源	森林资源丰富，樟脑产量居全国第一；西部平原地区煤和石油资源丰富。西海岸是重要的海盐产区


乳畜业	草场	人工草场为主


亚马孙河	流量	219000立方米


松花江	汛期	汛期较短（有春汛、夏汛）


松花江	含沙量	小（森林茂密）


松花江	结冰期	长（纬度高，位于中温带、寒温带）


长江	主要支流	雅砻江、岷江、嘉陵江、乌江、湘江、汉江、赣江


长江	流域面积	流域面积180多万平方千米，约占我国陆地面积的20%


长江	流经地形区	青藏高原、横断山区、云贵高原、四川盆地、长江中下游平原


中温带	作物	春小麦、大豆、玉米、甜菜等


寒温带	熟制	一年一熟


俄罗斯	工业区	4个工业区：以莫斯科、圣彼得堡为中心的两大工业区，新发展的乌拉尔工业区和新西伯利亚工业区


原料导向型工业	工业部门	甜菜制糖厂、甘蔗制糖厂、水产品加工厂、水果罐头


莫斯科工业区	工业中心	莫斯科


西北地区	交通	铁路运输为主，主要干线有兰新—北疆铁路、南疆铁路


种植业	地域类型	热带雨林迁移农业、种植园农业、水稻种植业、商品谷物农业


冰川	地理位置	存在于高纬度和高海拔地区


清洁生产	结论	推行清洁生产符合可持续发展的要求


城市化	标志	一是城市人口增加；二是城市人口在总人口中的比重上升；三是城市用地规模扩大。衡量城市化水平的最重要指标是城市人口占总人口的百分比。


内蒙古牧区	养殖物种	三河马、三河牛


牧区畜牧业	生产方式	放牧


生产工序上的工业联系	表现形式	工厂之间存在着产品与原料的联系，一家工厂生产的产品是另一家工厂的原料，这两家工厂之间就形成了生产工序上的工业联系


美国	国土组成	本土48个州，1个首都所在特区，2个海外州（阿拉斯加州和夏威夷州）


东北部工业区	主要工业城市	纽约、芝加哥、底特律、匹兹堡


大洋洲	五带位置	跨热带和温带，大部分位于热带


大洋洲	海陆位置	介于亚洲和南极洲之间，西临印度洋，东临太平洋，与南北美洲隔海相望


热带雨林气候	自然区域	热带雨林


大洋洲	政区范围	包括澳大利亚、新西兰等多个闰家，此外还有美国的海外州夏威夷州和印度尼西亚位于新几内亚岛上的部分领土


垂直地域分异规律规律	延伸方向	大致沿等高线方向


垂直地域分异规律规律	更替方向	从山麓到山顶


中山站	建立时间	1989年


两极地区	淡水资源	地球上大部分的淡水以冰雪形式储存在两极地区


南极地区	植物资源	主要是地衣、苔藓和淡水藻类，南极洲是地球上植物最稀少的大洲


亚热带常绿硬叶林带	动物资源	阿尔卑斯山羊


对外贸易	主要对象	美国、日本、韩国、西欧和东南亚各国


对外贸易	进出口主要商品	出口纺织品、服装、机械、茶叶、大米等，进口钢材、机电产品、交通工具、化肥、羊毛、铁矿石、小麦等


对外贸易	主要外贸口岸	上海、广州、天津、大连等


俄罗斯	矿产资源	库尔斯克铁矿；有色金属集中在乌拉尔山区；秋明油田、第二巴库油田；库兹巴斯煤矿


后期阶段	国家	发达国家


陇海—兰新沿线工业地带	发展方向	加强东西部联系，外引内联，逐步形成联系东西部的重要工业地带


西亚和北非	交通位置	三洲、五海之地。沟通大西洋、印度洋，联系亚、欧、非三洲，位于地中海、红海、阿拉伯海、黑海、里海（湖）之间


西亚和北非	农牧业	牧业以游牧为主，畜牧业发达，土耳其的安卡拉羊毛、阿富汗的紫羔皮等很著名


澳大利亚	语言	英语


马来西亚	宗教	伊斯兰教


产业升级面临困境	对策	产业结构调整


红河	流经国家	中国、越南


红河	沿岸城市	河内


马来西亚	物产	棕榈油


南亚	主要国家	印度、巴基斯坦、孟加拉国、不丹、尼泊尔、斯里兰卡、马尔代夫和克什米尔地区


北京	铁路干线	京哈线、京沪线、京九线、京广线、京包线


热带雨林带	代表动物	猩猩、河马


乳畜业	产品种类	牛奶、奶制品


乳畜业	市场	本地市场为主


大牧场放牧业	机械化程度	较高


清洁生产	效益	环境效益   实现了资源的可持续利用，并在生产过程中控制大部分污染，减少工业污染的来源


末端治理	产污量	间接可推动减少


澳大利亚	城市分布	在东南沿海地区，原因是东南沿海气候温和湿润，交通便利，开发早，工农业发达。内陆和西部气候干燥，东北部湿热，有大堡礁，不利于建港口


温带季风气候	风向强弱	冬季风强于夏季风


城市内部空间结构	发展变化	城市功能分区是一个动态的过程，并不是一成不变的，原有的功能分区也可能完全改变。例如，在城市发展的初期，各功能用地混杂布置，市中心吸引了工业的自然集聚。随着工业发展和第三产业兴起，市中心出现各种问题，工业用地改造成商业用地或其他用地，城市内部空间结构发生变化


亚洲与欧洲	分界线	乌拉尔山、乌拉尔河、里海、大高加索山、黑海、土耳其海峡


地球公转	角速度	平均角速度为1°/天


末端治理	控制效果	产污量影响处理效果


发展中国家	历史阶段	初期阶段或中期加速阶段


土地资源	趋势	耕地日渐减少，世界耕地需求趋势不断增长


台湾省	人口分布	人口和大城市主要分布在西部地区（地形平坦、土地肥沃、人口密集、交通便利、经济发达，开发时间最早），主要城市有台北市、高雄市和基隆市


末端治理	思考方式	污染物产生后再处理


太阳直射点	太阳直射点位置	元旦这一天,太阳直射点在南半球并向北移动。


热带气旋	天气状况	狂风暴雨


地球公转	线速度	平均线速度为30千米/秒


原始型	增长模式	增长缓慢


末端治理	资源耗用	增加


晋煤外运	主要运输方式	铁路运输


西部草原区	发展重点	强化人工草地建设，发展草业经济，推动退耕、退牧和围栏限牧工程的顺利实施，发展集约化草食性畜牧业


长江	开发重点	干支流上游的水能开发，先后修建了二滩、葛洲坝、三峡等水电站。中下游的航运


第一阶段	劣势	工业基础薄弱，矿产资源贫乏


第一阶段	背景	发达国家和地区进行产业结构调整，劳动密集型和资源密集型产业寻找新的出路


第一阶段	主导产业	劳动密集型产业


第一阶段	在全国的地位	一些生产生活消费品的工厂迅速成长为国内同类产品的主要生产厂家


珠江三角洲模式	城市化主要推动力	工业化


西气东输	所经地形	一线工程经过塔里木盆地、黄土高原、华北平原、长江中下游平原。二线工程经过准噶尔盆地、黄土高原、长江中下游平原、江南丘陵、珠江三角洲


中部通道	能源输出地	三峡、金沙江干支流电站


南部通道	能源类型	水电


中部通道	能源输入地	华东地区


通往东北运煤通道	路线	三大干线：集通线、京包—京沈线、滨洲线


地球自转	转移方向	自西向东


寒潮	路径	偏西路径、偏北路径、东北路径


地下水补给的河流	影响的主要地区	普遍


恒星日	发生时间	23小时56分4秒


泥石流	时空分布	时间上：具有与降水相对一致的季节变化空间上：主要发生在我国山区（从太行山到秦岭,经鄂西、四川、云南到藏东一带滑坡发育密度极大。青藏高原以东的第二级阶梯，特别是西南地区为我国滑坡和泥石流重灾区）


暴雨洪水	洪水来源	主要是台风、锋面等带来的暴雨


干旱	发生地区	常发生在降水不稳定的干旱、半干旱地区。影响的地域非常广，有时会波及整个国家或部分大陆。非
    洲、亚洲和大洋洲的内陆地区发生频率较高


中游地区	整治重点	防治长江水患，整治江河湖泊


地中海气候	气压带风带	冬季受西风带影响，夏季受副热带高气压带影响


长江	流经省市	青、川、藏、云、渝、鄂、湘、赣、皖、苏、沪（11个）


特别行政区	数量	2


纬线	特征	从赤道向两极逐渐变短，赤道最长（约40000千米），两极缩小成-个点。南北半球纬度数相同的纬线圈长度相等纬度为α的纬线长度是40000×cosα km南北纬60°的纬线长度是赤道周长的一半（约20000km）


马六甲海峡	意义	地处亚洲和大洋洲、印度洋和太平洋的“十字路口”，是东南亚国家与南亚、西亚、非洲、欧洲国家的联系通道


纬度	原理	地表某地到地心的连线与赤道平面的夹角（即线面角）；北半球某地的纬度等于在该地观察北极星的仰角 (或者说当地北极星的地平高度）


地球公转	公转轨道	近似正圆的椭圆形轨道（1月初过近日点，7月初过远日点）


太阳暖大地	过程	太阳辐射到达地面，地面吸收后增温


区域发展初期阶段	问题	少


土地资源	应对措施	“十分珍惜、合理利用土地和切实保护耕地”（基本国策）。依照政策法令进行管理；土地资源的开源和节流；加强土地资源的管理和保护。


地理信息系统	应用	是地图的延伸，凡是应用地图或需要处理空间数据的领域，都可以借助地理信息系统，该系统现在已经应用于城乡规划、灾害监测、环境管理、宏观决策等许多方面


西气东输	起始地点	一线工程西起塔里木盆地天然气田轮南，东到长江三角洲的上海。二线工程西起新疆霍尔果斯口岸，南至广州


长江	河流整治措施	上游地区的水土保持；中游地区的河道整治；下游地区的航道疏通等


亚马孙河	排名	第二长河


地中海气候	气候特征	夏季炎热干燥，冬季温和多雨


大洋洲	交通战略位置	大洋洲已成为亚洲、非洲与南北美洲之间舰船、飞机往来所需淡水、燃料和食物的供应站，又是海底电缆的交会处


南极地区	暖季	从每年的11月到次年3月


俄罗斯	地势特征	东高西低，南高北低


埃及	旅游业	埃及是古代文明的发祥地之一，有埃及金字塔、狮身人面像、神秘的“木乃伊”、庄严的神庙等。文化方面有象形文字、天文历法等


发育程度高的工业地域	条件	钢铁工业、石化丁.业、机械工业等生产过程复杂，其内部的工业联系比较复杂，形成的工业地域面积大，协作企业多，生产规模大，发育程度高


铁路	优点	运量大，运速快，运费较低，受自然因素影响小，连续性好


土地资源	措施	植树种草，合理利用，加强保护


自然旅游资源与人文旅游资源	相同点	多样性、非凡性、永续性


自然旅游资源与人文旅游资源	不同点	自然旅游资源  地域性、季节性和周期性
      人文旅游资源  可创造性、可变异性、可移动性


地形剖面图	绘制步骤	确定剖面线。在等高线图上画出一条剖面线


臭氧层破坏	自然原因	太阳活动


水资源短缺	人为原因	人口增加、工农业发展，用水量增大；对水体的污染和浪费严重，造成水质型缺水；植被破坏严重，陆地蓄水能力减小


塔里木盆地	制约因素	塔里木盆地环境脆弱，在开发利用油气资源的同时，需要采取多种措施避免破坏环境，并加强绿洲的环境保护。


末端治理	资源利用率	无显著变化


西北地区	水文特征	河流水量小，汛期短，河流含沙量大，多内流河，冰川融水是其主要的补给水源，有大片的无流区。黄河上游落差大，水力资源丰富


赤道低气压带	冷热特征	炎热
成因	纬度最低，受热最多
影响	热带气候终年炎热


赤道低气压带	干湿特征	湿润多雨
成因	水汽受热膨胀上升冷却凝结；海面广，蒸发旺盛
影响	热带雨林气候常年多雨、热带草原气候湿季多雨；赤道多雨带


水资源	时间特征	从时间分配看，夏秋季我国大部分地区降水丰沛，河流处于丰水期，水资源较为丰富，而且还容易造成洪涝灾害；冬春季降水少，河流处于枯水期，北方一些河流甚至干涸见底，水资源相对不足。
我国降水的年际变化也比较大，造成河流流量的年际变化大，有时会出现连续几年丰水或连续几年枯水的情况。



三圈环流	前提	假设地球表面是均匀的


土地退化	原则	建立“防、治、用”相结合的体系，强调将防治工作与消除贫困、土地的合理开发利用相结合，贯彻预防为主，使生态、经济、社会协调发展


后期阶段	发展趋势	出现逆城市化现象


乳畜业	主要产品	奶及其制品，如奶粉、黄油和奶酪


公平性原则	要求	人类的发展不应危及其他生物种群的生存；各国有权利根据需要开发本国资源，并保证不对其他国家的环境造成损害；人类需要和子孙后代共享资源和环境


日本	旅游胜地	富士山


林业区	主要产品分布区	主要树种有兴安落叶松、樟子松、红松、蒙古栎、內桦等。大小兴安岭是我同最大的林区；长白山区是我国鹿茸、人参等珍贵药材主产区；延边盛产苹果梨。辽东低山丘陵和半岛丘陵区是我国最大的柞蚕茧产区；辽南是重要的苹果产区


农业	空间差异	西牧东耕、南稻北麦


热带雨林带	土壤	砖红壤


中国北部地区	民居	屋顶坡度小，墙体厚，注重防寒、保暖


中国南方地区	饮食	大米


中国北部地区	运动项目	溜冰、滑雪


长江中下游地区	耕地类型	水田为主


末端治理	控制过程	污染物达标排放控制


人口政策	历史	①1978年3月，第五届全国人民代表大会第一次会议通过的《中华人民共和国宪法》第五十三条规定“国家提倡和推行计划生育”。计划生育第一次以法律形式载人我国宪法。
②2013年11月，十八届三中全会审议通过《中共中央关于全面深化改革若干重大问题的决定》。决定提出，坚持计划生育的基本国策，启动实施一方是独生子女的夫妇可生育两个孩子的政策。
③2015年10月十八届五中全会决定全面放开二孩政策，这意味着一对夫妇可以生育两个孩子。


基督教	经典	《圣经》


发展中国家	经济发展水平	较低


发展中国家	生活水平	较低，住房较拥挤，物质生活条件较差


发展中国家	医疗	较低，医疗设备较落后


发展中国家	教育	较低，人均教育经费低，教育条件较差


水资源	空间分布	从空间分布看，我国水资源南丰北缺。大致以长江流域北界为界，南方水资源占全国的80%以上，北方不足20%。


日本	人种	黄色人种


日本	民族	构成单一，大和民族占绝对优势


日本	传统服装	和服


黑龙江省	简称	黑


天津市	简称由来	取全称中的一个字或几个字做简称


岩浆岩	来源	软流层


冷锋	天气图	http://kb.cs.tsinghua.edu.cn/apihtml/getpng/110/CS010069T00580010204


冷锋	降水位置图	http://kb.cs.tsinghua.edu.cn/apihtml/getpng/110/CS010069T00580010207


冷锋	符号图	http://kb.cs.tsinghua.edu.cn/apihtml/getpng/110/CS010069T00580010210


山地	比例	33%


东北平原	温度带	中温带


东北平原	干湿区	湿润地区


香港	旗帜	http://kb.cs.tsinghua.edu.cn/apihtml/getpng/495/CS090002T02020010101


亚马孙地区雨林被毁	直接原因	人类的不合理开发是导致雨林被毁的直接原因。
（1）人口增长和贫困导致发展需求。
（2）为获得更多的粮食过度发展迁移农业。
（3）采矿、修路、城镇建设；为不断增长的人口和移民提供土地和就业机会。
（4）商业性伐木：木材出口换取外汇，以偿还债务。
（5）开辟大型农牧场以转让土地、出口肉牛和热带经济作物获取经济收益。


大气水平运动	根本原因	地面受热不均


资源跨区域调配	经济原因	区域间的发展水平不平衡，各区域对自然资源的需求与该区域所赋存的自然资源往往不匹配。


交通运输线	经济因素	合理布局交通运输线路，促进沿线经济发展。铁路线和公路国道线基本方向以直达为主，并适当照顾沿线重要经济点，通过城市时应从城市边缘经过；省道等地方性公路，则以满足地方经济发展和居民需要为主，可以通过当地的居民点、车站、码头等


航空港	社会经济因素	人口稠密，经济发达，人流、物流频繁地区最为有利


产业转移	其他因素	原因：国际经济形势、国家政策、地价、环境污染程度等
转移方向：向这些条件优越的地区转移
示例：重化工业的转移等


人口迁移	政策因素	尤其是有关人口迁移的政策有重要影响，如新中国成立到20世纪80年代中期的人口迁移


产业转移	内部交易成本因素	原因：不同国家和地区，劳动力的数量、素质、价格的差异很大；
转移方向：向具有充足、高素质且价格低廉的劳动力资源的国家和地区转移；
示例：劳动密集型产业在东亚的转移：日本→韩国、我国台湾、香港→我国东部沿海地区→我国中西部地区


人口迁移	个人因素	迁入区的拉力和迁出区的推力随个人因素的变化而变化，如生活职业要求、价值观等


商品谷物农业	市场因素	市场广阔（美国是世界上最大的谷物出口国）


城市内部空间结构	社会因素	收入是形成不同级别住宅区的主要原因，如高级住宅区与低级住宅区的形成
知名度可以提高身份与地位，是一种强大的集聚力量，如美国的好莱坞
种族或宗教信仰可以形成聚居区，如北美和欧洲的唐人街和黑人社区


人口迁移	自然环境因素	引起饥荒或生态环境恶化而迫使人口迁移；引起生存环境恶化而迫使人口迁移，形成环境移民


城市内部空间结构	行政因素	政府采取行政手段制定政策和城市规划，干预城市经济的发展，例如新兴工业园区的建设


原料导向型工业	区位因素	原料


航空港	自然区位因素	受地形、气候、地质、水文等影响较大


空气质量	影响因素	自然因素：①气压的高低。气压高，气流下沉，易污染；气压低，气流上升，易扩散，不易污染。②风力的大小。风力大，不易污染；风力小，易污染


城市内部空间结构	历史因素	早期的土地利用有深远影响，例如上海现代化中心商务区是外滩和陆家嘴
昔日土地利用也可能完全改变，例如西方国家有些大城市中心边缘的住宅区变成贫民区


农业生产	劳动力因素	劳动力数量多少，劳动力价格、素质高低影响着产品成本和质量


北京	主要城市职能	政治中心：人民大会堂是人民代表大会常务委员会所在地，中南海是中共中央和国务院所在地


大洋洲	纬度	大部分位于23°26′N—40°S，赤道穿过三大群岛


大洋洲	经度	160°E和180°经线穿过三大群岛，跨东西两种经度和东西时区，国际日界线穿过东部海域


东亚	人口	主要分布在东部沿海平原，人口稠密，属于黄色人种，主要民族有汉族、蒙古族、大和民族、朝鲜族等


丘陵	海拔	海拔较低，一般在200m以上，500m以下


北京	时区	东八区


农业生产	性质	季节性


人口迁移	土壤因素	通过影响农业发展而影响人口迁移，如农业社会人口为寻找新的土地而迁移


季风水田农业	耕地因素	亚洲的主要水稻种植区人口稠密，人均耕地少，水稻的单位面积产量高，种植水稻可以缓解人口对土地的压力和对粮食的需求


人口迁移	水源因素	其分布变化在很大程度上决定着人口迁移的方向、规模，如早期的逐水草而居


人口迁移	气候因素	通过影响人类生产生活而影响人口迁移，如细老年人口向“阳光地带”（37°N以南）迁移


农业生产	光照因素	①光照强，有利于农作物的光合作用。如我国西北干旱地区的瓜果比较甜②光照弱，不利于谷物的生长。如西欧因光照不足，只适宜多汁牧草的生长，其农业以乳肉畜牧业为主③光照时间长，在一定程度上可弥补热量不足。如我国东北平原，虽然纬度较高，但夏季光照时间长，有利于农作物生长


农业生产	热量因素	①热量充足，生长期长，复种指数高，单产高。如我国海南，因热量条件好，农作物可一年三熟②热量不足，生长期短，农作物只能一年一熟，甚至无法生长。如我国东北地区，因热量条件差，农作物只能一年一熟，若夏季出现低温，则易造成农作物减产


农业生产	降水量因素	①降水量适中且雨热同期，有利于农作物生长②降水量过多则易造成洪涝灾害，过少则易造成旱灾


农业生产	气温日较差因素	①气温日较差大，有利于农作物的营养物质积累，农作物品质好。如新疆的瓜果特别甜，但要注意日温差过大对农作物易造成冻害②气温日较差小，农作物的品质较差。如温室里栽培的农作物的品质不如室外同种农作物的品质


农业生产	地形因素	①地形平坦有利于大规模耕作，大型机械化作业，提高劳动生产率。典型地区如美国②地形崎岖，地块狭小，只能使用小型机械。典型地区如日本③水热条件好的地区，如果地势起伏大，则可发展立体农业。典型地区如我国南方低山丘陵地区。如果地势起伏小（＜25°），适宜发展梯田④发展渔业需考虑水域面积，发展畜牧业需考虑草场、饲料，发展林业需考虑山地、丘陵的分布


环境人口容量	资源因素	正相关。资源越丰富，环境人口容量越大；资源越贫乏，环境人口容量越小


人口迁移	矿产资源因素	随其早期开发利用而引起人口迁移和流动，如伯明翰、大庆、攀枝花等矿业城市的形成


人口迁移	地区发展水平因素	主要的、经常起作用的因素。大多数情况下人口迁移是为了追求更好的就业机会、更高的经济收入和生活水平；宏观经济布局的改变也会造成大量人口迁移


商品谷物农业	交通因素	五大湖及密西西比河航运与发达的公路、铁路相衔接，构成四通八达的交通运输网


人口迁移	通信因素	通信的发展相对缩小了地区间的距离，促进了人口迁移，如近几个世纪的人口迁移高潮


人口迁移	城市化因素	即由农村到城市的人口迁移，发达国家历史上、发展中国家当前人口迁移的主要类型


人口迁移	区域规模开发因素	形成产业性移民


人口迁移	文化教育因素	改变人们的生活态度、生活期望及认识外部世界的态度，促进了人口迁移


环境人口容量	地区开放程度因素	正相关。地区开放程度越高，环境人口容量越大；地区越封闭，环境人口容量越小


人口迁移	婚姻家庭因素	婚姻是影响青年人口迁移的重要因素，家庭因素对未成年人、老年人口的迁移起重要作用


人口迁移	性别年龄因素	青年人口因婚姻迁移，老年人口因家庭因素迁移


人口迁移	政治迫害因素	政治迫害等原因造成大批人口流亡异国他乡


人口迁移	民族因素	民族冲突、民族和种族歧视等原因造成大批人口流亡异国他乡


人口迁移	政治变革因素	政治变革、政治中心的改变常引起人口迁移，如历史上我国都城变换和朝代更迭引起的人口迁移


人口迁移	战争因素	战争破坏人类正常的生活环境和秩序并引发人口迁移，如“一战”“二战”、当代局部战争和冲突引起的人口迁移


工业区位	个人偏好因素	决策者的乡土情感及个人的理念和心理因素，例如眷恋家乡的侨胞纷纷回国、回家乡投资建厂。
区位选择的重要因素，有时甚至成为主导因素。例如喜欢大海风光的投资者将企业建在近海滩处


交通运输线	科技因素	使运输网伸展到更广阔的范围，克服自然条件对线路建设的障碍，并减少其对车辆运行安全的威胁


商品谷物农业	人口密度因素	地广人稀，生产规模大,竞争优势大


商品谷物农业	工业因素	工业发达，为农业生产提供现代化的农业机械及电力、化肥和农药


