
slabel,plabel,v
危险废弃物,定义,具有化学反应性、毒性、腐蚀性、爆炸性、放射性等引起危害的特性。来自日常生活中的废药品、废日光灯、废水银温度计、废电池等
农村垃圾,定义,农村垃圾成分变化大，塑料薄膜的使用和丢弃普遍，破坏土壤结构
热带气旋,定义,中心附近最大风力达到12级或以上的热带气旋
震源,定义,地球内部岩层破裂引起震动的地方
震中,定义,地面正对着震源的那一点
震源深度,定义,震源到地面的垂直距离
震中距,定义,地面上任何一点到震中的直线距离
等震线,定义,把地面破坏程度相似的各点连接起来的曲线
滑坡,定义,是山地斜坡上不稳定的岩体与土体，在重力作用下沿一定滑动面整体向下滑动的地质现象
泥石流,定义,是山区沟谷中由暴雨、冰雪融水等激发的、含有大量泥沙石块的特殊洪流
自然灾害监测系统,定义,自然灾害监测系统是由国家、区域及地方等各级组织，通过不同平台对自然灾害进行监测和分析的网络系统。
非工程性防御措施,定义,非工程性防御措施是通过国际组织和各个国家的减灾规划和防灾法律、各级行政部门的减灾管理以及公众减灾教育等途径，控制和减少自然灾害造成的损失。
民族,定义,是指生活在一个地区的人们，经过较长的历史时期，形成了共同的生活习惯、语言文字、宗教信仰和社会制度等
天体,定义,是宇宙间物质存在的形式
天体系统,定义,天体系统是由宇宙中的各种天体之间相互吸引、相互绕转而形成的
太阳活动,定义,是指太阳大气经常发生的大规模运动，其中以黑子和耀斑作为主要标志，平均周期约为11年
地球自转,定义,地球绕其自转轴的旋转运动叫做地球自转
地球自转,定义,地球绕着地轴的旋转运动
地球公转,定义,地球围绕太阳的绕转运动
热力环流,定义,由于地面冷热不均而形成的空气环流
气候变化,定义,长时期大气状态变化的一种反映，主要表现为不同时间尺度的冷暖和干湿变化
农业地域类型,定义,农业地域类型是指在一定的地域内形成的比较稳定的、成形的、区域性的农业生产类型
地理信息系统,定义,专门处理地理空间数据的计算机系统，称为“地理信息系统”，简称“GIS”
GIS,定义,专门处理地理空间数据的计算机系统，称为“地理信息系统”，简称“GIS”
区域产业转移,定义,国内的产业转移叫区域产业转移
国际产业转移,定义,跨国的产业转移叫国际产业转移
自然美,定义,指大自然中的自然物或自然现象在不同的条件下，呈现出的审美状态，如形象美、色彩美、动态美、朦胧美等
人工美,定义,指能够吸引人们旅游活动、反映古今人类创造的物质文明和精神文明的事物所呈现出的审美状态，如古典园林美、古建筑和古遗迹美、民俗风情美、书画艺术美、雕塑艺术美等
畜牧业,定义,靠放牧或饲养牲畜及家禽等而获得产品的生产部门
中心商务区,定义,中心商务区是大城市中心集金融、贸易、信息、展览、会议、经营管理、旅游机构及设施、公寓及配套的商业、文化、市政、交通、服务设施等于一体的功能区
公路运输,定义,我国短途运输的主要方式
遥感,定义,人们在航空器（如飞机、高空气球）或航天器（如人造卫星）上利用一定的技术装备，对地表物体进行远距离的感知
全球定位系统,定义,利用卫星，在全球范围内实时进行定位、导航的系统，称为全球定位系统，简称GPS
水系,定义,指河流干流、支流和流域内的湖泊、沼泽或地下暗河，彼此连接组成的庞大系统
水螅,定义,指河流干流、支流和流域内的湖泊、沼泽或地下暗河，彼此连接组成的庞大系统
水污染,定义,在一定的时间、空间范围内，如果污染物大量排入天然水体，并超过其自净能力，就会改变水和底泥的理化性质，改变水中生物群落组成，造成水质恶化、水体利用价值降低甚至丧失的现象
固体废弃物,定义,在生产建设、日常生活和其他活动中产生的污染环境的固态、半固态废弃物质，通常称为垃圾
大气污染,定义,由于自然或人为的原因，大气圈中原有成分被改变，而且增加了某些有毒有害的物质，致使大气质量恶化，影响了原有的生态平衡，严重威胁着人体健康和正常的工农业生产，并对建筑物及各种设备设施造成损害
可吸入颗粒物污染,定义,指空气中“总悬浮颗粒物”去掉10微米以上的大颗粒后剩余的物质
酸雨,定义,把pH值小于5.6的降水称为酸雨
震级,定义,注意：①它与地震释放的能量多少有关②一次地震只有一个震级（因为一次地震释放的能量是一定的）③一般而言，5级以上的地震会造成破坏，7级以上的地震会造成重大损害
烈度,定义,表示地震时地面受到的影响和破坏程度
泥石流,定义,在坡陡谷深，岩石破碎，松散碎屑物质多，植被覆盖差的地方，当夏季突降暴雨或冰雪融水汇集时，常会发生泥石流
灾中应急,定义,指在灾害发生和灾情形成过程中立即采取的行动和对策
风灾,定义,龙卷风、台风、飓风的共性是风力强劲，能摧毁建筑物并伤害人畜，统称为风灾
地球仪,定义,人们仿照地球的形状，按照一定的比例把它缩小，制作了地球的模型
等降水量线,定义,人们根据世界各地的气象记录，把同一时段内降水量相同的地点，在地图上用线连接起来，叫做等降水量线
北极,定义,地轴与地球表面相交的两点，对着北极星方向的点叫北极
南极,定义,地轴与地球表面相交的两点，对着北极星方向的点叫北极，与北极对应的点叫南极
纬线,定义,在地球仪上，所有与赤道平行的圆圈
大陆,定义,面积最大的陆地
半岛,定义,陆地伸进海洋的凸出部分
图例,定义,对地图上各种符号和注记的说明，称为图例
图例,定义,地图的语言
等高线地形图,定义,用等高线表示地面高低起伏的地图，即为等高线地形图
等高线地形图,定义,用等高线表示地形的地图
区域,定义,地球表面的空间单位，它是人们在地理差异的基础上，按一定的指标和方法划分出来的
鞍部,定义,两个山峰之间相对比较低洼的部位
山谷,定义,等高线弯曲部分向高处凸出
宇宙,定义,是时间和空间的总和
地轴,定义,地球自转的旋转中心是地轴
地轴,定义,地球自转的固定轴
晨昏线,定义,昼半球和夜半球的分界线（圈），叫做晨昏线（圈）
晨昏线圈,定义,昼半球和夜半球的分界线（圈），叫做晨昏线（圈）
昼弧,定义,晨昏线（圈）把经过的纬线分割成昼弧和夜弧，处在昼半球的各纬线圈的弧长
恒星年,定义,真正周期
黄赤交角,定义,地球绕太阳公转的轨道面叫黄道面，通过地心与地球自转轴垂直的平面叫赤道面，它们之间的夹角称为黄赤交角
地震波,定义,当地震发生时，地下岩石受到强烈冲击，产生弹性震动，并以波的形式向四周传播。这种弹性波叫地震波
不连续面,定义,地球内部，地震波波速在一定深度发生突然变化的面
风,定义,风（即大气的水平运动）是水平气压梯度力、地转偏向力和摩擦力这三种作用力共同作用的结果
季风,定义,大范围地区盛行风随季节有显著改变的现象
大气环流,定义,大气环流是全球性的有规律的大气运动
固沟工程,定义,在沟谷修建淤地坝、小水库和营造防护林等
护坡工程,定义,在缓坡地段实施封坡育林、育草和修筑水平梯田相结合
保塬工程,定义,塬面上坚持平整土地，大力营造护林网，合理利用水土
湿地,定义,水位经常接近地表或为浅水覆盖的土地
洋流,定义,海洋中的海水，常年比较稳定地沿着一定方向做大规模的流动，叫做洋流
夜弧,定义,晨昏线（圈）把经过的纬线分割成昼弧和夜弧，处在夜半球的各纬线圈的弧长
夜弧,定义,地球上的纬线，一般被晨昏线分成两个部分，位于夜半球的部分叫夜弧
莫霍界面,定义,在地面下平均33千米处（指大陆部分）的不连续面，纵波和横波的传播速度都明显增加
古登堡界面,定义,在地下2900千米处的不连续面，纵波的传播速度突然下降，横波则完全消失
古登堡面,定义,在地下2900千米处的不连续面，纵波的传播速度突然下降，横波则完全消失
太阳辐射,定义,太阳源源不断地以电磁波的形式向四周放射能量，这种现象被称为太阳辐射
支流,定义,一般将流入干流的支流，叫一级支流，流入一级支流的河流叫二级支流，以此类推
气团,定义,在对流层下部，在水平方向的一定范围内，温度、湿度等物理性质分布比较均匀的大范围空气
暖气团,定义,比下垫面温度高的气团
冷气团,定义,比下垫面温度低的气团
锋面,定义,冷暖气团的交界面
锋线,定义,由于冷空气的密度较大，锋面自地面向高空冷气团一侧倾斜。锋面与地面相交的线
内流河,定义,最终未能流人海洋的河流
外流河,定义,最终流入海洋的河流
天气,定义,一个地区短时间里的大气状况，通常用阴晴、风雨、冷热等来描述
河流侵蚀地貌,定义,河流在流动过程中，会破坏和搬运地表物质，形成侵蚀地貌
断层地貌,定义,指地壳岩石受力发生破裂，沿断裂面产生相对位移所形成的地貌，即在地质构造的形成过程中所形成的地貌
褶皱山,定义,由背斜或向斜发育而成的山岭
水体,定义,天然或人工形成的分布在不同空间位置的水
水圈,定义,地球上的水在地理环境中以气态、固态、液态三种形式相互转化，形成各种水体，共同构成了一个连续但不规则的圈层
河谷,定义,典型的河流侵蚀地貌，它由沟谷发育而成
水循环,定义,自然界的水在水圈、大气圈、岩石圈、生物圈四大圈层中通过各个环节连续运动的过程
自然地理环境,定义,由大气、水、岩石、生物、土壤、地形等地理要素组成的，自然地理环境各组成要素之间是相互作用，相互影响的
差异性,定义,指地球表层大小不等，内部具有一定相似性的一系列地域单元的分化，以及由此产生的各自然地理条件的差异
岩石圈的物质循环,定义,岩石圈的物质在外力作用下不断运动和变化，从岩浆到形成各种岩石，又到新岩浆的形成，周而复始，构成岩石圈的物质循环过程
作物熟制,定义,一定时间内，作物生长收获的次数
一年一熟制,定义,一年内，作物正常生长，只收获一次
一年两熟制,定义,一年内，作物正常生长，收获两次的
两年三熟制,定义,作物正常生长，两年内收获三次的
土地退化,定义,指土地资源质量的降低，在农耕地上通常表现为农作物产量的下降或农产品品质的降低
化石燃料,定义,煤炭、石油、天然气、油页岩等矿物燃料。它们是重要的非可再生资源，也是人类目前主要利用的能源
内流区,定义,内流河的集水区域（即流域）
内流区,定义,内流河的流域
内流河,定义,最终未流入海洋的河流
厄尔尼诺现象,定义,在正常年份，秘鲁沿海洋流从南向北形成秘鲁寒流。但每隔几年，温暖的海水从赤道向南流动，迫使秘鲁寒流向西流动。导致秘鲁附近海域水温升高，这就是厄尔尼诺现象
城市等级体系,定义,同一区域内，不同级别的城市空间组合，就构成了一个地区的城市等级体系。
太阳高度,定义,指太阳光线与地平面的夹角，叫做太阳高度角，简称太阳高度
正午太阳高度,定义,太阳光线与地平面的夹角，称为太阳高度角，也称太阳高度，正午时的太阳高度角，称为正午太阳高度
正午太阳高度的季节变化,定义,一年中，同一纬度地区的正午太阳高度随时间而有规律地变化
山脉,定义,呈带状分布，沿着一定方向延伸很长的山地
山系,定义,由若干条平行山脉组合而成的巨大山体
天气,定义,是一个地区短时间里风雨、阴晴、冷热等的大气状况，它是时刻在变化的
锋面雨,定义,当冷空气和暖空气相遇时，相对较轻的暖空气被“抬升”，遇冷凝结而产生降水
地形雨,定义,暖而湿的气流在遇到高山等地形阻挡时，被迫沿山坡抬升，上升时水汽因冷却而凝结成云，并导致降水
台风雨,定义,由于气流自四面八方流入气旋中心，气旋中心的空气被迫抬升，空气因上升冷却而成云致雨
空气质量,定义,与空气中所含污染物的数量有关，可以用污染指数来表示
自净作用,定义,污染物进入天然水体后，可以被一系列的物理（混合、稀释、挥发、扩散、沉淀等）、化学（氧化还原、酸碱反应、分解、凝聚等）、生物（水生动植物和微生物的同化、氧化、分解等）过程所净化
旅游规划,定义,为满足游客需求和促进旅游地的发展而确定发展目标、配置旅游要素、选择并制定合适的未来行动计划的过程
旅游业,定义,是一项综合性服务行业
地中海气候,定义,除南极洲以外，各大洲都有地中海气候的分布，只是因为在地中海沿岸最典型、最广泛，我们称之为地中海气候
环境承载力,定义,指在一定时期内，在维持相对稳定的前提下，环境、资源所能容纳的人口规模和经济规模的大小
人口合理容量,定义,人口合理容量是指按照合理的生活方式，保障健康的生活水平，同时又不妨碍未来人口生活质量的前提下，一个国家或地区最适宜的人口数量
城市内部空间结构,定义,在经济、社会、历史和政策等因素的作用下，城市功能分区在空间上的分布与组合
城市地域结构,定义,在经济、社会、历史和政策等因素的作用下，城市功能分区在空间上的分布与组合
城市功能分区,定义,城市中各种经济活动之间发生空间竞争，导致同类活动在空间上高度集聚所形成的商业区、工业区、住宅区、行政区、文化区等
城市功能区,定义,城市中各种经济活动之间发生空间竞争，导致同类活动在空间上高度集聚所形成的商业区、工业区、住宅区、行政区、文化区等
致灾因子,定义,对人类及其经济社会、自然资源造成损害的自然异常变化
孕灾环境,定义,由大气圈、岩石圈、水圈、生物圈共同组成的综合地球表层环境
受灾体,定义,灾害的承受体，包括人以及物质文化环境、自然资源
灾情,定义,因灾导致的生命、财产、资源损失的情况
干旱,定义,因长时期无降水或降水量少而造成空气干燥、土壤缺水的一种现象
地震,定义,地震是地下深处岩石发生断裂，产生震动的现象
风暴潮,定义,由于强烈大风扰动，引起海岸水面异常升高，海水漫溢上陆的现象　
旱灾,定义,一种渐发性的自然灾害
城市服务功能,定义,城市作为区域的中心，集中了大量不同的企业和机构，为区域提供各种产品和服务，吸引着区域内的居民到城市购物、就医、上学或寻求其他服务
城市的服务范围,定义,到该市来购买商品或寻求服务的顾客来源点的分布范围就是该城市的服务范围
人口密度,定义,人口密度是指平均每平方千米内居住的人口数。它反映一个地区的人口疏密程度，用“人/千米2”表示
人口密度,定义,表示某地人口分布的稠密与稀疏。
信息源,定义,地图、遥感图像、野外考察、室内实 验、社会经济统计等获得的数据
数据处理,定义,建立空间模型和数据模型
数据库,定义,关于某一研究区域的若干图层就 组成GIS数据库
空间分析,定义,按一定规划对所研究的局部进行 空间分折
表达,定义,形成可供研究、规划和决策人员使用的 产品，如地图、图像、统计图表、数字等
乳畜业,定义,乳畜业是随着城市发展而形成的面向城市市场的商品化、集约化畜牧业地域类型
混合农业,定义,以耕作业与畜牧业相结合为特征的农业地域类型
河谷农业,定义,青藏高原气候高寒，只有河谷地带由于地势较低，气温较高，无霜期长，降水条件较好，土壤比较肥沃，又有河水作为灌溉水源，因而适宜耕作，成为农业发达地带
绿洲农业,定义,在干旱荒漠地区的河湖沿岸或山麓地带因有灌溉水源而成为荒漠地区发展农业的理想场所
灌溉农业,定义,在干旱、半干旱地区依靠水利工程设施发展起来的农业
坝子农业,定义,云贵高原石灰岩地貌广布，流水的冲刷使地表土层浅薄，地表水渗漏严重，不利于耕作，只有在被当地人称为“坝子”的山间小盆地内有小块的冲积平原，水土条件相对较好，是发展农业的好地方
基塘农业,定义,珠江三角洲的一种独具地方特色的农业类型，是把低洼的地方挖深为塘，饲养淡水鱼；将泥土堆砌在鱼塘四周筑成塘基，在塘基上栽果树、桑树、甘蔗，这种生产结构称为“果基鱼塘”“桑基鱼塘”“蔗基鱼塘”
工业集聚,定义,工业集聚是指具有工业联系的工厂往往发生近距离集聚（即地理空间上相互靠近）的现象
工业地域,定义,工业集聚而成的地域称为工业地域
工业分散,定义,工业分散是指工厂企业之间或工业区之间距离趋远的现象
交通运输,定义,利用各种运输工具，使旅客、货物沿着特定线路实现空间位移的过程
人口增长模式,定义,人口增长模式又称人口转变模式，它反映了不同国家和地区的人口出生率、死亡率和自然增长率随社会经济条件变化而变化的规律。
纬度,定义,在地球仪上纬线有无数条。为了区别每一条纬线，人们给它们标注了不同的度数
循环经济,定义,以环境无害化技术为手段，以提高生态效益为核心，以环境友好方式利用经济资源和环境资源，实现经济活动的生态化
生态农业,定义,用生态系统的观点，将农业生产和生态平衡纳入协调一致的轨道，协调经济发展与环境之间、资源利用与保护之间的关系，形成生态上和经济上的良性循环，实现农业的可持续发展
两极,定义,地轴与地球表面相交的两点
清洁生产,定义,在产品生产过程和预期消费中，既能合理利用自然资源，把人类对环境的危害减至最低，又能充分满足人类的需要，使社会、经济效益最大的一种模式
经线,定义,在地球仪上，连接南、北两极并垂直于纬线的线，叫经线
子午线,定义,在地球仪上，连接南、北两极并垂直于纬线的线，叫经线
经线圈,定义,地球仪上相对的两条经线组成一个经线圈
经纬网,定义,在地球仪或地图上，经线和纬线相互交织，形成经纬网
太阳高度角,定义,太阳光线与地平面的夹角
地图,定义,地图是运用各种符号，将地理事物按一定的比例缩小以后表示在平面上的图像
比例尺,定义,地图上的比例尺是表示图上距离比实地距离缩小的程度
比例尺,定义,比例尺表示图上距离比实地距离缩小的程度
地形剖面图,定义,地形剖面图是以等高线地形图为基础转绘而成的。它是沿等高线地形图某条线下切而显露出来的地形垂直剖面
分层设色地形图,定义,"在绘有等高线和等深线的地形图上,把不同高度和深度的范围，着上不同的颜色（海洋则着上深浅不同的蓝色），可以一目了然地看到地表的高低形态和海底的起伏状况,这种地图叫分层设色地形图"
人口自然增长率,定义,是一个国家或地区在一定时期内人口自然增长数与同期平均总人口数之比
人口自然增长率,定义,世界人口的增长速度，通常用人口自然增长率来表示。人口自然增长率是由人口出生率和人口死亡率决定的，通常用百分数表示。
人口死亡率,定义,一个国家或地区在一定时期内（通常为1年）死亡人数在该国或该地区总人口中所占的比例
人口死亡率,定义,一年内死亡的人数占总人数的比率
人口的机械增长,定义,人口的机械增长是由人口迁移引起的，对全球人口并不产生影响。
人口的自然增长,定义,人口的自然增长取决于出生率和死亡率的变动
疆域,定义,指一个国家领土的范围或面积。领土包括陆地和水域及其底土和上空。它可分为领陆、领水（内水和领海）和领空三个部分。领陆是领土的基本组成部分，包括大陆部分，也包括所属岛屿
地球,定义,是一个两极稍扁、赤道略鼓的不规则球体
PM2.5,定义,大气中直径小于或等于2.5微米的颗粒物
荒漠化,定义,指发生在干旱、半干旱地区及一些半湿润地区的土地退化，它是气候变异等自然因素与人类过度的经济活动相互作用的产物
人口出生率,定义,一个国家或地区在一定时期内（通常为1年）出生的存活婴儿在该国或该地区总人口中所占的比例
人口出生率,定义,一年内出生的婴儿数占总人数的比率
种族,定义,"根据人类体质方面的特征可划分为白种人、黄种人和黑种人，人种在体质形态上的某些遗传特征属于自然范畴,绝无优劣之分"
人口老龄化,定义,指总人口中因年轻人口数量减少、年长人口数量增加而导致的老年人口比例相应增长的动态过程
线段式,定义,在地图上画一条线段，并注明1厘米代表实地距离多少千米
文字式,定义,在地图上用文字直接写成图上1厘米代表实地距离多少千米
数字式,定义,用比例式或分数式表示图上1厘米代表实地距离多少千米
指向标定向法,定义,在有指向标的地图上，要按照指向标判读方向，指向标一般是一个箭头
聚落,定义,世界上的人们居住在不同的地方，有些人住在乡村，有些人住在城市。我们把人们的这些聚居地——乡村和城市，统称聚落
气温,定义,大气的温度
海拔,定义,某地高出海平面的垂直距离
海拔,定义,地面某个地点高出海平面的垂直距离
相对高度,定义,某个地点高出另一个地点的垂直距离
等高线,定义,在地图上，将海拔相等的各点连接而成的线
等高线,定义,在地图上，把海拔相同的各点连接成线
等高距,定义,在等高线地形图上，每两条相邻等高线的高差
等深线,定义,在地图上，把海洋中深度相同的各点连接成线
南半球,定义,赤道以南是
北半球,定义,赤道以北
水半球,定义,水半球是海洋分布最集中的半球
陆半球,定义,陆半球是陆地分布最集中的半球
大洲,定义,大陆与它周围的岛屿合起来
海,定义,洋的边缘部分，一般靠近大陆，常常有半岛或岛屿与大洋隔开
海峡,定义,沟通两个海洋的狭窄水道
农业生产,定义,农业生产活动是指人们利用土地的自然生产力（即土地的生物生产能力）栽培植物或饲养动物，以获得所需要产品的过程，包括狭义和广义两层含义
农业,定义,农业生产活动是指人们利用土地的自然生产力（即土地的生物生产能力）栽培植物或饲养动物，以获得所需要产品的过程，包括狭义和广义两层含义
种植业,定义,在耕地上种植水稻、小麦、大豆、棉花等农作物的生产部门
林业,定义,种植、养育、保护、采伐林木以及对树胶、松脂等林产品进行采集和加工的生产部门
渔业,定义,在水域中进行天然捕捞，或者人工养殖有价值的水生生物的生产部门
地方时,定义,因经度的不同而出现的不同时刻
零时区,定义,以本初子午线为基准，将东西经度7.5°的范围作为零时区
区时,定义,每个时区都以本时区中央经线的地方时作为全区共同使用的时间
北京时间,定义,北京所在的东8区的区时（东经120°的地方时）
国际标准时间,定义,以零度经度的地方时作为国际上统一采用的标准时间
