北方地区,冬季寒冷干燥，夏季高温多雨
北极地区,由于绝大部分为海洋，因此不像南极那么寒冷，降水量比南极地区多，风速也比南极地区小，但大部分地区也是终年冰封
非洲,以赤道为轴，呈带状南北对称分布。
台湾,冬季温暖，夏季炎热，雨量充沛，夏秋多台风和暴雨
巴西高原,全年高温，分干、湿两季
乳畜业,温和湿润
地质历史时期,时间跨度最大、变化周期最长的气候变化，表现为全球气候冷暖、干湿相互交替，总体来看温暖期较长，寒冷期较短，新生代以湿润期为主
人类历史时期,温暖期与寒冷期交替
大牧场放牧业,半干旱、干旱
中国北部地区,以温带季风气候为主，夏季雨热同期，冬季寒冷干燥，年降水量为400—800毫米，且降水量集中在7、8月份，最冷月气温在0℃以下。华北夏季多暴雨，冬春多沙尘暴、寒潮等灾害
中国北方地区,以温带季风气候为主，夏季雨热同期，冬季寒冷干燥，年降水量为400—800毫米，且降水量集中在7、8月份，最冷月气温在0℃以下。华北夏季多暴雨，冬春多沙尘暴、寒潮等灾害
中国南方地区,亚热带、热带季风气候，雨热同期，光、热、水分条件好，年降水量在800毫米以上，最冷月平均气温在0℃以上。东南沿海地区夏秋季节易受台风影响，长江中下游地区夏季受副热带高气压的控制，形成伏旱天气
中国南部地区,亚热带、热带季风气候，雨热同期，光、热、水分条件好，年降水量在800毫米以上，最冷月平均气温在0℃以上。东南沿海地区夏秋季节易受台风影响，长江中下游地区夏季受副热带高气压的控制，形成伏旱天气
中亚,大部分地区为温带沙漠气候、温带草原气候
田纳西河流域,降水丰富，冬季和春季常发生大范围持续降雨。水汽主要来自墨西哥湾和加勒比海
北美,以温带大陆性气候为主
拉丁美洲,气候受地形的影响比较显著，热带平原地区气候湿热，高原地区气候比较温和，高山地区气候和植被都有明显的垂直变化；安第斯山脉南段，西侧盛行西风，迎风坡多雨，东侧背风坡干燥少雨；南美洲西海岸受山脉阻挡，气候带狭长，分布于沿海地带
俄罗斯,以温带大陆性气候为主，冬季漫长而寒冷，夏季温暖而短促，各地差异较大
埃及,埃及北部地中海沿岸为地中海气候，夏季高温少雨，冬季温和多雨。大部分地区为热带沙漠气候，终年炎热，干燥少雨
赤道低气压带和信风带,热带雨林气候：终年高温多雨
赤道低气压带,热带雨林气候：终年高温多雨
信风带,热带沙漠气候：全年炎热，干旱少雨
副热带高气压带,热带沙漠气候：全年炎热，干旱少雨
西风带,温带海洋性气候：全年温和多雨
极地高气压带,冰原气候：全年严寒，降水稀少
近现代,全球气候呈现波动性上升
东北平原,雨热同期，能满足作物的正常生长，病虫害少
巴西,以热带草原气候和热带雨林气候为主
东部沿海,温带季风和亚热带季风气候（湿润）
西部内陆,温带大陆性气候（干旱）
南亚,多位于热带地区，气温比同纬度地区略高，迎风坡降水较多，可达11000毫米，西北部降水稀少，形成沙漠。多属热带季风气候，全年高温，有旱、雨两季；热带沙漠气候全年干热
南亚,降水充沛，河网密布
中亚,深居大陆内部，降水少，光照充足，以草原和荒漠为主
撒哈拉沙漠,终年高温少雨
北亚,气候严寒，极端最低气温达－71℃
北亚,气候寒冷，冰雪广布，亚寒带针叶林分布广
西部,太平洋沿岸狭窄的温带海洋性气候，西部广大高原区形成半干旱区，南部狭窄的地中海气候
东部,降水自沿海向内陆递减，大部分地区为温带大陆性气候，35°N以南地区为亚热带季风性湿润气候
澳大利亚,大部分地区炎热干燥，东南沿海地区温暖湿润
澳大利亚,澳大利亚的气候分布呈半环状
德国,大部分地区为温带海洋性气候
东亚,东部沿海季风气候显著：东亚是世界上季风气候最显著的地区之一。冬季盛行偏北风，夏季盛行偏南风。降水由沿海向内陆减少。在东亚季风气候区内，根据气温和降水的不同，又分为温带季风气候区和亚热带季风气候区
东亚,西部内陆温带大陆性气候典型：中国西北部和蒙古境内受夏季偏南风的影响较小，降水很少，属于干旱、半干旱的温带大陆性气候
东亚,地处环太平洋地带，多火山、地震
西亚,气候炎热干燥，多风沙
北京,暖温带大陆性季风气候，夏季炎热多雨，冬季寒冷干燥，春秋短，冬夏长；属暖温带、半湿润地区
大洋洲,大陆部分炎热干燥，沙漠分布广泛，气候呈半环状分布；岛屿气候湿润
阿尔卑斯山脉,高原山地气候
美国,美国气候以温带大陆性气候为主，东南沿海为亚热带季风性湿润气候，西部沿海有温带海洋性气候和地中海气候，在西部山地还有高原山地气候，靠近墨西哥的西南部地区有热带沙漠气候的分布
黄土高原,大部分地区属暖温带，是半湿润区向半干旱区过渡的地区
东南亚,热带雨林气候，终年高温多雨
撒哈拉以南非洲,气候炎热
撒哈拉以南非洲,大部分地区以热带草原气候和热带雨林气候为主（各地区热带草原气候的成因并不完全相同）；热带沙漠气候分布在大陆西南部南回归线附近；地中海气候局限在最南部的沿海地区
西北地区,西北地区最突出的自然地理特征——干旱。因为这里深居内陆，距海遥远，加上高大山脉的阻隔，使得来自海洋的湿润气流难以到达，所以降水稀少，气候干旱。西北地区是典型的温带大陆性气候。这里大部分地区年降水量在400毫米以下，超过一半的地区年降水量不足200毫米，有的甚至在50毫米以下，是我国干旱面积最广的地区。
塔里木盆地,气候干旱，降水稀少，成为我国极端干旱的地区
西部大西洋沿岸,"""受北大西洋暖流和西风的影响，冬暖夏凉，降水季节分配比较均匀。空气湿润，云量较大，阴雨天较多，日照较少"
北部北冰洋沿岸一带,冬季严寒漫长，夏季凉爽短促，属于寒带气候
南部三大半岛沿岸,夏季炎热干燥，冬季温和多雨，为地中海气候
东部内陆地区,是冬冷夏热的温带大陆性气候
印度,以热带季风气候为主，全年高温，一年分为明显的旱、雨两季，多水旱灾害
印度,印度绝大部分地区处于热带和亚热带，以热带季风气候为主，一年明显分为旱、雨两季
印度,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-277
印度,http://kb.cs.tsinghua.edu.cn/apihtml/getjpg/495/Figure-0000-278
印度,每年10月至次年5月为印度的旱季，盛行东北季风。东北季风从陆地吹向海洋，气流干燥，降水稀少；每年6－9月为印度的雨季，盛行西南季风，西南季风从印度洋上带来了丰富的水汽，降水丰沛。
西风带和副热带高压带,地中海气候：冬季温和多雨，夏季炎热干燥
南方地区,"""气温：纬度较低，最热月平均气温为28℃～30℃，最冷月平均气温在0℃以上"
非洲,http://edukb.org/knowledge/0.1/property/geo#qihou
南方地区,http://edukb.org/knowledge/0.1/property/geo#qihou
北方地区,http://edukb.org/knowledge/0.1/property/geo#qihou
西部大西洋沿岸,http://edukb.org/knowledge/0.1/property/geo#qihou
青藏高原,http://edukb.org/knowledge/0.1/property/geo#qihou
南方地区,"""气温：纬度较低，最热月平均气温为28℃～30℃，最冷月平均气温在0℃以上降水：受季风影响，南方地区降水丰富，年平均降水量在800毫米以上"""
北方地区,"""最冷月（1月）平均气温：0℃以下最热月（7月）平均气温：20℃以上温度带：大部分地区属于中温带和暖温带年降水量：大部分地区为400~800毫米干湿地区：大部分地区属于半湿润地区降水季节分配：不均，主要集中在夏季气候特点：冬季寒冷干燥，夏季高温多雨"""
青藏高原,青藏地区具有独特的高寒气候，冬寒夏凉，年温差小，日温差大。气温日较差可达20℃，有“一年无四季，一日见四季”之说。高原早晚很冷，而一到中午，日照强烈，气温很快上升。海拔高，空气稀薄，日照充足，太阳辐射强烈，其中拉萨被称为“日光城”。为了适应这种气候，藏民的传统服饰为藏袍。早上和晚上，藏民可以将双手藏在藏袍袖中，紧裹藏袍而御寒；到了中午，则可以脱下一只袖子，或脱下两只袖子系在腰间。
非洲,"""气候炎热"
